Name,Pay (USD millions),Year,Category
Oprah Winfrey,225.0,2005,Personalities
Tiger Woods,87.0,2005,Athletes
Mel Gibson,185.0,2005,Actors
George Lucas,290.0,2005,Directors/Producers
Shaquille O'Neal,33.4,2005,Athletes
Steven Spielberg,80.0,2005,Directors/Producers
Johnny Depp,37.0,2005,Actors
Madonna,50.0,2005,Musicians
Elton John,44.0,2005,Musicians
Tom Cruise,31.0,2005,Actors
Brad Pitt,25.0,2005,Actors
Dan Brown,76.5,2005,Authors
Will Smith,35.0,2005,Actors
David Letterman,40.0,2005,Personalities
Lance Armstrong,28.0,2005,Athletes
Michael Jordan,33.0,2005,Athletes
Michael Schumacher,60.0,2005,Athletes
Will Ferrell,40.0,2005,Comedians
Kobe Bryant,28.8,2005,Athletes
Sean (Diddy) Combs,36.0,2005,Musicians
Jay Leno,30.0,2005,Comedians
J.K. Rowling,59.1,2005,Authors
Metallica,37.4,2005,Musicians
Jennifer Lopez,17.0,2005,Musicians
Cast of Desperate Housewives,5.6,2005,Television actresses
David Beckham,32.5,2005,Athletes
Howard Stern,31.0,2005,Personalities
Rush Limbaugh,30.0,2005,Personalities
Shania Twain,34.0,2005,Musicians
Peter Jackson,47.0,2005,Directors/Producers
Denzel Washington,30.0,2005,Actors
Rod Stewart,31.0,2005,Musicians
Michael Vick,37.5,2005,Athletes
Bette Midler,31.0,2005,Musicians
The Olsen Twins,21.0,2005,Television actresses
Jerry Bruckheimer,66.0,2005,Directors/Producers
Jennifer Aniston,18.5,2005,Actresses
Derek Jeter,25.5,2005,Athletes
Julia Roberts,8.0,2005,Actresses
Prince,49.7,2005,Musicians
David Copperfield,57.0,2005,Magicians
Tobey Maguire,32.0,2005,Actors
The Eagles,45.0,2005,Musicians
Ray Romano,36.5,2005,Comedians
Nicole Kidman,14.5,2005,Actresses
Jeff Gordon,23.4,2005,Athletes
Phil Mickelson,26.8,2005,Athletes
Alex Rodriguez,27.5,2005,Athletes
Matt Damon,27.0,2005,Actors
Adam Sandler,28.0,2005,Actors
Oscar De La Hoya,38.0,2005,Athletes
Lindsay Lohan,11.0,2005,Television actresses
LeBron James,22.9,2005,Athletes
Hilary Duff,15.0,2005,Actresses
Paris Hilton,6.5,2005,Personalities
Bill Clinton,6.0,2005,Personalities
Maria Sharapova,18.2,2005,Athletes
Drew Barrymore,22.0,2005,Actresses
Andre Agassi,26.2,2005,Athletes
Manny Ramirez,24.2,2005,Athletes
Van Halen,29.6,2005,Musicians
Serena Williams,12.7,2005,Athletes
Valentino Rossi,28.0,2005,Athletes
Jessica Simpson,8.0,2005,Television actresses
Sandra Bullock,10.5,2005,Actresses
Cameron Diaz,13.0,2005,Actresses
Regis Philbin,20.0,2005,Personalities
James Patterson,27.0,2005,Authors
Paul Harvey,30.0,2005,Personalities
Jennifer Garner,14.0,2005,Television actresses
Nora Roberts,28.8,2005,Authors
Ronaldo,23.0,2005,Athletes
Judge Judy Sheindlin,28.0,2005,Personalities
Ellen DeGeneres,15.0,2005,Personalities
Naomi Watts,11.5,2005,Actresses
Ashlee Simpson,5.3,2005,Musicians
Gisele Bündchen,15.2,2005,Models
Dave Chappelle,12.0,2005,Comedians
John Madden,17.0,2005,Personalities
Rudy Giuliani,5.0,2005,Personalities
Venus Williams,6.5,2005,Athletes
Matt Hasselbeck,22.8,2005,Athletes
Jack Welch,9.2,2005,Authors
Walter Jones,23.2,2005,Athletes
Emeril Lagasse,9.0,2005,Personalities
Wolfgang Puck,12.0,2005,Personalities
Lindsay Davenport,6.0,2005,Athletes
Arthur Agatston,16.0,2005,Personalities
Annika Sorenstam,7.3,2005,Athletes
Heidi Klum,7.5,2005,Models
Kimora Lee Simmons,17.0,2005,Personalities
Patricia Heaton,9.0,2005,Television actresses
Kate Moss,5.0,2005,Models
Ken Jennings,3.2,2005,Personalities
Tyra Banks,6.0,2005,Personalities
Frankie Muniz,8.0,2005,Television actors
Adriana Lima,4.5,2005,Models
David Blaine,2.0,2005,Magicians
Amanda Bynes,1.5,2005,Actresses
Charlie Palmer,4.7,2005,Personalities
Steven Spielberg,332.0,2006,Directors/Producers
Howard Stern,302.0,2006,Personalities
George Lucas,235.0,2006,Directors/Producers
Oprah Winfrey,225.0,2006,Personalities
U2,110.0,2006,Musicians
Jerry Seinfeld,100.0,2006,Comedians
Rolling Stones,90.0,2006,Musicians
Tiger Woods,90.0,2006,Athletes
Dan Brown,88.0,2006,Authors
Jerry Bruckheimer,84.0,2006,Directors/Producers
J.K. Rowling,75.0,2006,Authors
The Eagles,70.0,2006,Musicians
Dick Wolf,70.0,2006,Directors/Producers
Tom Cruise,67.0,2006,Actors
